Nome_Fantasia;Cnes;Cnpj;UF;Municipio
AMPARO MATERNIDADE;3427633;26618074000180;GO;GOIANIA
APMI;2568373;81644718000112;PR;UNIAO DA VITORIA
ASILO DE CARIDADE SANTA CASA DE BOM SUCESSO;2179628;18863985000144;MG;BOM SUCESSO
ASSOC AACD V CLEMENTINO;2077655;60979457000111;SP;SAO PAULO
ASSOCIACAO BENEFICENTE HOSPITALAR PERITIBA;2689863;78478559000119;SC;PERITIBA
ASSOCIACAO HOSPITAL PERSONAL CUIDADOS ESPECIAIS;5607442;8620828000154;SP;SAO PAULO
ASSOCIACAO HOSPITALAR MANOEL FRANCISCO GUERREIRO;2793237;3184906000100;RS;GUAPORE
ASSOCIACAO HOSPITALAR PE JOAO BERTHIER;2538571;86108263000134;SC;SAO CARLOS
CAETE SANTA CASA DE CAETE;2117312;18979328000167;MG;CAETE
CARDIO PULMONAR DA BAHIA;3814378;13952064000134;BA;SALVADOR
CASA CARIDADE SANTA TEREZA;2202891;24975237000156;MG;SERRO
CASA DE CARIDADE DE CARANGOLA;2764776;19274091000181;MG;CARANGOLA
CASA DE CARIDADE DE MURIAE HOSPITAL SAO PAULO;4042085;22780498000195;MG;MURIAE
CASA DE CARIDADE LEOPOLDINENSE;2122650;22149165000162;MG;LEOPOLDINA
CASA DE PORTUGAL;3113205;33607045000188;RJ;RIO DE JANEIRO
CASA DE SAUDE E MATERNIDADE SANTA MARTHA;3016501;30079461000162;RJ;NITEROI
CASA DE SAUDE SANTA EFIGENIA LTDA;2428369;11403094000166;PE;CARUARU
CASA DE SAUDE SANTA LUCIA;6878865;29435005005279;RJ;RIO DE JANEIRO
CASA DE SAUDE SANTA LUCIA LTDA;2162237;22790182000184;MG;MURIAE
CASA DE SAUDE SANTA MARIA;2448424;27490614000155;ES;COLATINA
CASA DE SAUDE SANTOS;3008398;18290268000170;SP;SANTOS
CASA DE SAUDE SAO JOSE;2165481;25421421000117;MG;UBERABA
CASAMATER;2323281;6833917000153;PI;TERESINA
CBCO;2519283;250178000190;GO;GOIANIA
CDC CENTRO DE DIAGNOSTICO E CIRURGIA;356611;3404350000101;GO;CERES
CEGEN;2577380;6233166000134;PR;CORNELIO PROCOPIO
CEMOX;3571157;95952701000137;SC;SAO BENTO DO SUL
CENTRO DE TRATAMENTO FABIANA MACEDO DE MORAIS;5869412;1146603000169;SP;SAO JOSE DOS CAMPOS
