"ORIGEM";"NOME FANTASIA";"CNES";"CNPJ";"UF";"MUNICIPIO";"DATA DE ATUALIZACAO";"OBSERVACAO"
"HOSPITAIS";"AMPARO MATERNIDADE";"=""3427633""";"=""26618074000180""";"GO";"GOIANIA";"";""
"HOSPITAIS";"APMI";"=""2568373""";"=""81644718000112""";"PR";"UNIAO DA VITORIA";"";""
"HOSPITAIS";"ASILO DE CARIDADE SANTA CASA DE BOM SUCESSO";"=""2179628""";"=""18863985000144""";"MG";"BOM SUCESSO";"";""
"HOSPITAIS";"ASSOC AACD V CLEMENTINO";"=""2077655""";"=""60979457000111""";"SP";"SAO PAULO";"";""
"HOSPITAIS";"ASSOCIACAO BENEFICENTE HOSPITALAR PERITIBA";"=""2689863""";"=""78478559000119""";"SC";"PERITIBA";"";""
"HOSPITAIS";"ASSOCIACAO HOSPITAL PERSONAL CUIDADOS ESPECIAIS";"=""5607442""";"=""08620828000154""";"SP";"SAO PAULO";"";""
"HOSPITAIS";"ASSOCIACAO HOSPITALAR MANOEL FRANCISCO GUERREIRO";"=""2793237""";"=""03184906000100""";"RS";"GUAPORE";"";""
"HOSPITAIS";"ASSOCIACAO HOSPITALAR PE JOAO BERTHIER";"=""2538571""";"=""86108263000134""";"SC";"SAO CARLOS";"";""
"HOSPITAIS";"CAETE SANTA CASA DE CAETE";"=""2117312""";"=""18979328000167""";"MG";"CAETE";"";""
"HOSPITAIS";"CARDIO PULMONAR DA BAHIA";"=""3814378""";"=""13952064000134""";"BA";"SALVADOR";"";""
"HOSPITAIS";"CASA CARIDADE SANTA TEREZA";"=""2202891""";"=""24975237000156""";"MG";"SERRO";"";""
"HOSPITAIS";"CASA DE CARIDADE DE CARANGOLA";"=""2764776""";"=""19274091000181""";"MG";"CARANGOLA";"";""
"HOSPITAIS";"CASA DE CARIDADE DE MURIAE HOSPITAL SAO PAULO";"=""4042085""";"=""22780498000195""";"MG";"MURIAE";"";""
"HOSPITAIS";"CASA DE CARIDADE LEOPOLDINENSE";"=""2122650""";"=""22149165000162""";"MG";"LEOPOLDINA";"";""
"HOSPITAIS";"CASA DE PORTUGAL";"=""3113205""";"=""33607045000188""";"RJ";"RIO DE JANEIRO";"";""
"HOSPITAIS";"CASA DE SAUDE E MATERNIDADE SANTA MARTHA";"=""3016501""";"=""30079461000162""";"RJ";"NITEROI";"";""
"HOSPITAIS";"CASA DE SAUDE SANTA EFIGENIA LTDA";"=""2428369""";"=""11403094000166""";"PE";"CARUARU";"";""
"HOSPITAIS";"CASA DE SAUDE SANTA LUCIA";"=""6878865""";"=""29435005005279""";"RJ";"RIO DE JANEIRO";"";""
"HOSPITAIS";"CASA DE SAUDE SANTA LUCIA LTDA";"=""2162237""";"=""22790182000184""";"MG";"MURIAE";"";""
"HOSPITAIS";"CASA DE SAUDE SANTA MARIA";"=""2448424""";"=""27490614000155""";"ES";"COLATINA";"";""
"HOSPITAIS";"CASA DE SAUDE SANTOS";"=""3008398""";"=""18290268000170""";"SP";"SANTOS";"";""
"HOSPITAIS";"CASA DE SAUDE SAO JOSE";"=""2165481""";"=""25421421000117""";"MG";"UBERABA";"";""
"HOSPITAIS";"CASAMATER";"=""2323281""";"=""06833917000153""";"PI";"TERESINA";"";""
"HOSPITAIS";"CBCO";"=""2519283""";"=""00250178000190""";"GO";"GOIANIA";"";""
"HOSPITAIS";"CDC CENTRO DE DIAGNOSTICO E CIRURGIA";"=""0356611""";"=""03404350000101""";"GO";"CERES";"";""
"HOSPITAIS";"CEGEN";"=""2577380""";"=""06233166000134""";"PR";"CORNELIO PROCOPIO";"";""
"HOSPITAIS";"CEMOX";"=""3571157""";"=""95952701000137""";"SC";"SAO BENTO DO SUL";"";""
"HOSPITAIS";"CENTRO DE TRATAMENTO FABIANA MACEDO DE MORAIS";"=""5869412""";"=""01146603000169""";"SP";"SAO JOSE DOS CAMPOS";"";""
"HOSPITAIS";"CENTRO HOSPITALAR ALBERT SABIN SA";"=""3021289""";"=""09866294000103""";"PE";"RECIFE";"";""
"HOSPITAIS";"CENTRO MATERNO INFANTIL REGINA PACIS PORTO VELHO";"=""2743590""";"=""14659791000170""";"RO";"PORTO VELHO";"";""
"HOSPITAIS";"CENTRO MEDICO";"=""2308983""";"=""06265912000171""";"MA";"SAO LUIS";"";""
"HOSPITAIS";"CENTRO MEDICO HOSPITALAR DE VILA VELHA S A";"=""5417139""";"=""00410817000138""";"ES";"VILA VELHA";"";""
"HOSPITAIS";"CENTRO PEDIATRICO DA LAGOA";"=""3008568""";"=""28602407000108""";"RJ";"RIO DE JANEIRO";"";""
"HOSPITAIS";"CLIMES CLINICA MEDICA";"=""3085384""";"=""40320103000153""";"RJ";"RIO DE JANEIRO";"";""
