NOME FANTASIA;CNES;CNPJ;UF;MUNICIPIO;DATA DE ATUALIZAÇÃO
02 CTG CENTRO DE TTO DE FERIDAS E MEDICINA HIPERBARICA;9132082;24786340000158;MG;CONTAGEM;30/08/2018
02JF CENTRO DE OXIGENIOTERAPIA HIPERBARICA;7518129;17525444000143;MG;JUIZ DE FORA;30/08/2018
A C CAMARGO CANCER CENTER;2077531;60961968000106;SP;SAO PAULO;30/08/2018
A M P DE SOUZA FONOAUDIOLOGIA ME;9167773;23028239000175;SP;LINS;30/08/2018
A POSITIVO LABORATORIO;6908721;11709809000103;MG;TAIOBEIRAS;30/08/2018
A VIEIRA CLINICA MEDICA;3862100;01502884000145;BA;SALVADOR;30/08/2018
AA2 INSTITUTO SAUDE DIAGNOSTICO;6025226;09292185000120;SP;PROMISSAO;30/08/2018
ABADS;3210022;60805975000119;SP;SAO PAULO;30/08/2018
ABR SERVICOS;3152634;01507355000134;RJ;NOVA IGUACU;30/08/2018
ACADEMIA VOZ E VIDA;7968469;24413092000108;RJ;RIO DE JANEIRO;30/08/2018
ACAO E SAUDE PILATIS FISIOTERAPIA E RPG;2262444;65163685000132;MG;BELO HORIZONTE;30/08/2018
ACC CLINICA DE FISIOTERAPIA LTDA;3678342;72338718000101;RS;PORTO ALEGRE;30/08/2018
ACERTA LABORATORIO;7669275;19949211000101;PE;ARCOVERDE;30/08/2018
ACQUA LIFE;7634773;20335590000110;SP;ITAQUAQUECETUBA;30/08/2018
ACQUAFISIO;5620104;07912486000183;MG;BELO HORIZONTE;30/08/2018
ACREDITAR TOCANTINS;6059104;09378824000174;TO;ARAGUAINA;30/08/2018
ACSAMPAIO DIAGNOSTICOS LTDA ME;7971400;24095017000138;ES;LINHARES;30/08/2018
ACUQUAFISIO;3048748;01364424000106;PE;CARUARU;30/08/2018
ADOLFO LUTZ;3179028;00918889000190;CE;FORTALEZA;30/08/2018
ADOLFO LUTZ PEQUISA E DIAGNOSTICO;7073259;11040626000148;PE;RECIFE;30/08/2018
ADS TELEMEDICINA;3813762;02698518000176;BA;SALVADOR;30/08/2018
AFAC ULTRA SONOGRAFIA;3164039;33967142000181;BA;SALVADOR;30/08/2018
AFFETOS;7605862;20892276000139;SP;JACAREI;30/08/2018
AGAPE FISIOTERAPIA E ESTETICA;7445849;10386981000100;RJ;RIO DE JANEIRO;30/08/2018
AGENCIA TRANSFUSIONAL SINHA JUNQUEIRA;2045613;55980882001243;SP;RIBEIRAO PRETO;30/08/2018
AGILIS LABORATORIO DE PATOLOGIA LTDA;6529798;10290826000277;ES;LINHARES;30/08/2018
AGILIS LABORATORIO DE PATOLOGIA LTDA;6309747;10290826000196;ES;VITORIA;30/08/2018
AGS LABORATORIO DE ANALISES CLINICAS;5883636;86951191000192;MS;DOURADOS;30/08/2018
AKC DIAGNOSTICOS;9141456;04721117000204;DF;BRASILIA;30/08/2018
AL LABORATORIO DE ANALISES CLINICAS E CITOLOGICAS;9153527;11040626000229;PE;RECIFE;30/08/2018
ALBOR DIAGNOSTICOS;2060671;00547516000150;SP;SAO CAETANO DO SUL;30/08/2018
ALBRECHT CLINICA INTEGRADA DE REABILITACAO;3242668;01488598000172;RS;SAO LEOPOLDO;30/08/2018
ALCANCE CLINICA DE FISIOTERAPIA LTDA;3247570;03353379000101;MG;BELO HORIZONTE;30/08/2018
ALCANTARA E ENGLEITNER;3096963;02072207000105;MS;RIO VERDE DE MATO GROSSO;30/08/2018
ALCLIN LIBERDADE;3775461;33921495000302;BA;SALVADOR;30/08/2018
ALCLIN PITUBA;2752840;33921495000140;BA;SALVADOR;30/08/2018
ALEXANDRE ARAUJO VIANNA RIBEIRO;3547906;13115929000108;RJ;ANGRA DOS REIS;30/08/2018
ALEXANDRE MERCADANTE REABILITACOES;5855756;;SP;JACAREI;30/08/2018
ALFA DIAGNOSTICO;5128870;07933897000155;ES;IUNA;30/08/2018
ALFA LABORATORIO DE ANALISES CLINICAS;6416918;02850329000177;TO;PARAISO DO TOCANTINS;30/08/2018
ALFALAB ANALISES CLINICAS;5324432;08226835000176;MG;SAO JOAO NEPOMUCENO;30/08/2018
ALLMED SERVICOS MEDICOS;3143880;73524928000149;SP;SAO PAULO;30/08/2018
ALMEIDA E CUNHA LABORATORIO DE ANALISES CLINICA;7560028;20686310000119;MG;ICARAI DE MINAS;30/08/2018
ALTA CONSULTORIO DE NEUROLOGIA LTDA;6342434;07505713000156;MG;BELO HORIZONTE;30/08/2018
ALTANALISE LABORATORIO DE ANALISES CLINICAS LTDA;6550460;10945955000175;ES;MARILANDIA;30/08/2018
ALTO PADRAO LABORATORIO DE ANAL CLINICAS E PATOLOGICAS LTDA;66302467;12377868000194;GO;MORRINHOS;30/08/2018
ALVIM LABORATORIO DE ANALISES CLINICAS;5612748;08886773000129;MT;TANGARA DA SERRA;30/08/2018
AMENEG ASSIST MEDICA E NEFROLOGIA DE GUARULHOS;2071290;59650366000159;SP;GUARULHOS;30/08/2018
AMI;7444095;18565519000182;MG;UBERLANDIA;30/08/2018
AMICE CLINICA;8630501;10256215000121;GO;GOIANIA;30/08/2018
AMIG ASSOCIACAO MEDICA IGUATEM;6832229;05970593000132;RJ;RIO DE JANEIRO;30/08/2018
AMPIEZZA CLINICAS INTEGRADAS LTDA;6877214;13888605000102;DF;BRASILIA;30/08/2018
ANA CARLA ZAGO FISIOTERAPIA;7864310;23399857000121;SP;BAURU;30/08/2018
ANA PAULA BADUY OTORRINOLARINGOLOGIA;3090248;03739826000165;PR;CURITIBA;30/08/2018
ANA PAULA PERES DE CASTRO;5861098;;RJ;NITEROI;30/08/2018
ANACLI;2401991;05133454000154;BA;FEIRA DE SANTANA;30/08/2018
ANACLIN;2098008;20322798000103;MG;VICOSA;30/08/2018
ANACLIN LABORATORIO DE ANALISES CLINICAS;3213552;81398018000195;PR;SAO JOSE DOS PINHAIS;30/08/2018
